Timecode List:,00:00:19.833
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,595,00:00:19.833,19.833,595,00:00:19.833,19.833
2,596,00:00:19.833,19.833,727,00:00:24.233,24.233,132,00:00:04.400,4.400
